
C|C
Caesar etsi multis necessariisque rebus in Italiam revocabatur, tamen constituerat nullam partem belli in Hispaniis relinquere, quod magna esse Pompei beneficia et magnas clientelas in citeriore provincia sciebat|Although Caesar was recalled to Italy by many necessary matters, yet he resolved to leave no part of the war in Spain, because he knew that Pompey had great benefits and great clients in the other province.

Itaque duabus legionibus missis in ulteriorem Hispaniam cum Q|Accordingly, with two legions sent into further Spain with Q

Cassio, tribuno plebis, ipse cum dc equitibus magnis itineribus praegreditur edictumque praemittit, ad quam diem magistratus principesque omnium civitatum sibi esse praesto Cordubae vellet|Cassius, the tribune of the people, himself marches ahead with 100 horsemen, and issues a proclamation in advance, by which day he would have the magistrates and princes of all the states available to him at Cordoba.

quo edicto tota provincia pervulgato nulla fuit civitas, quin ad id tempus partem senatus Cordubam mitteret, non civis Romanus paulo notior, quin ad diem conveniret|by which edict the whole province was spread, there was no city, but for that time a part of the senate was sent to Cordoba, not a Roman citizen a little better known, who did not meet for the day

simul ipse Cordubae conventus per se portas Varroni clausit, custodias vigiliasque in turribus muroque disposuit, cohortis duas, quae colonicae appellabantur, cum eo casu venissent, tuendi oppidi causa apud se retinuit|At the same time he himself closed the gates of the convent of Cordoba against Varro, and placed guards and vigils in the towers and on the walls, and retained with him two cohorts, which were called colonics, who should come by that chance, for the purpose of protecting the town.

isdem diebus Carmonenses, quae est longe firmissima totius provinciae civitas, deductis tribus in arcem oppidi cohortibus a Varrone praesidio, per se cohortes eiecit portasque praeclusit|In those days the Carmonenses, which is by far the strongest city of the whole province, having been led into the citadel of the town by three cohorts under the protection of Varro, drove out the cohorts by himself and barred the gates.

Hoc vero magis properare Varro, ut cum legionibus quam primum Gadis contenderet, ne itinere aut traiectu intercluderetur; tanta ac tam secunda in Caesarem voluntas provinciae reperiebatur|Varro, however, hastened this the more, that he might contend with the legions as soon as Gadis might, lest he should be hindered by the journey or passage; so much so that the second will of the province towards Caesar was found

progresso ei paulo longius litterae Gadibus redduntur, simulatque sit cognitum de edicto Caesaris, consensisse Gaditanos principes cum tribunis cohortium quae essent ibi in praesidio, ut Gallonium ex oppido expellerent, urbem insulamque Caesari servarent|After he had advanced a little further, letters were returned to the Gadians, and it was pretended that Caesar's edict had been learned, that the Gadian leaders had agreed with the tribunes of the cohorts that were there in the garrison, to drive Gallonium out of the town, and to keep the city and the island for Caesar

hoc inito consilio denuntiavisse Gallonio, ut sua sponte, dum sine periculo liceret, excederet Gadibus; si id non fecisset, sibi consilium capturos|Having entered into this plan, he announced to Gallonius that he should leave the Gads of his own free will, as long as it was permitted without danger; if he had not done so, he would have taken counsel for himself

hoc timore adductum Gallonium Gadibus excessisse|Gallonius, driven by this fear, crossed over to the Gads

his cognitis rebus altera ex duabus legionibus, quae vernacula appellabatur, ex castris Varronis adstante et inspectante ipso signa sustulit seseque Hispalim recepit atque in foro et porticibus sine maleficio consedit|When these things were known, the other of the two legions, which was called vernacular, from the camp of Varro, standing by and inspecting himself, took up the standards, and received Hispalus himself, and sat down in the forum and the arcades without harm.

quod factum adeo eius conventus cives Romani comprobaverunt, ut domum ad se quisque hospitio cupidissime reciperet|which was done, the citizens of the Romans so confirmed his meeting, that every one received the house to his house with the greatest eagerness of hospitality

quibus rebus perterritus Varro, cum itinere converso sese Italicam venturum praemisisset, certior ab suis factus est praeclusas esse portas|whereupon Varro, terrified by these things, when he had turned his way to Italy, was informed by his men that the gates were barred

tum vero omni interclusus itinere ad Caesarem mittit paratum se esse legionem, cui iusserit, tradere|but then, being stopped from every journey, he sends to Caesar that he is ready to hand over the legion to whom he had commanded

ille ad eum Sex|he to him Six

Caesarem mittit atque huic tradi iubet|He sends for Caesar and orders him to be delivered

tradita legione Varro Cordubam ad Caesarem venit; relatis ad eum publicis cum fide rationibus, quod penes eum est pecuniae, tradit, et, quid ubique habeat frumenti ac navium, ostendit|delivered by Varro's legion, he came to Caesar at Cordoba; he reports to him the public accounts with confidence, that he owes him money, and shows what everywhere he has of corn and ships

Caesar contione habita Cordubae omnibus generatim gratias agit: civibus Romanis, quod oppidum in sua potestate studuissent habere, Hispanis, quod praesidia expulissent, Gaditanis, quod conatus adversariorum infregissent seseque in libertatem vindicavissent, tribunis militum centurionibusque, qui eo praesidii causa venerant, quod eorum consilia sua virtute confirmavissent|Caesar, having held an assembly at Cordoba, thanked everyone in general: the Roman citizens, who had endeavored to have the town under their control, the Spaniards, who had expelled the garrisons, the Gaditans, who had defeated the efforts of their adversaries and had vindicated themselves to liberty, the tribunes of the soldiers and the centurions, who had come for the purpose of the garrison, for their plans they would have confirmed it by their power

pecunias, quas erant in publicum Varroni cives Romani polliciti, remittit; bona restituit iis quos liberius locutos hanc poenam tulisse cognoverat|He returned the money which had been pledged to the public by the Roman citizens of Varro; He restored goods to those whom he had known to have taken this punishment, speaking more freely

tributis quibusdam publicis privatisque praemiis reliquos in posterum bona spe complet biduumque Cordubae commoratus Gadis proficiscitur; pecunias monimentaque quae ex fano Herculis collata erant in privatam domum, referri in templum iubet|with certain public and private tributes, he completes the rest with good hopes for the future, and after a two-day stay at Cordoba, Gadis departs; He ordered that the money and memorials which had been collected from the gods of Hercules in a private house should be brought back to the temple

provinciae Q|the province of Q

Cassium praeficit; huic iiii legiones adtribuit|Cassius presides; to this he assigns iii legions

ipse iis navibus quas M|himself in those ships which M

Varro quasque Gaditani iussu Varronis fecerant, Tarraconem paucis diebus pervenit|Varro and the Gaditans, who had done so by order of Varro, reached Tarracone in a few days

ibi totius fere citerioris provinciae legationes Caesaris adventum exspectabant|there the legations of nearly the whole of the province of Citarius awaited Caesar's arrival

eadem ratione privatim ac publice quibusdam civitatibus habitis honoribus Tarracone discedit pedibusque Narbonem atque inde Massiliam pervenit|in the same manner, after honoring some states privately and publicly, he left Tarracone and on foot reached Narbonne, and thence reached Marseilles

ibi legem de dictatore latam seseque dictatorem dictum a M|There the law about the dictator was passed and the dictator himself was said by M

Lepido praetore cognoscit|He knows the good praetor

Massilienses omnibus defessi malis, rei frumentariae ad summam inopiam adducti, bis proelio navali superati, crebris eruptionibus fusi, gravi etiam pestilentia conflictati ex diutina conclusione et mutatione victus—panico enim vetere atque hordeo corrupto omnes alebantur, quod ad huiusmodi casus antiquitus paratum in publicum contulerant—deiecta turri, labefacta magna parte muri, auxiliis provinciarum et exercituum desperatis, quos in Caesaris potestatem venisse cognoverant, sese dedere sine fraude constituunt|The people of Marseilles were exhausted by all evils, reduced to the greatest scarcity of grain, twice overcome by naval engagements, destroyed by frequent eruptions, and defeated by a severe pestilence as a result of a long conclusion and change; —the tower having been thrown down, and a great part of the wall having been undermined, with the help of the provinces and the desperate armies, whom they had learned had come under Caesar's power, they decided to surrender themselves without treachery

sed paucis ante diebus L|but a few days before L

Domitius cognita Massiliensium voluntate navibus iii comparatis, ex quibus duas familiaribus suis adtribuerat, unam ipse conscenderat, nactus turbidam tempestatem profectus est|When Domitius learned of the will of the Massilians, having procured three ships, of which he had assigned two to his relatives, he himself had boarded one, he set out in a stormy storm.

hunc conspicatae naves quae iussu Bruti consuetudine cotidiana ad portum excubabant, sublatis ancoris sequi coeperunt|seeing him, the ships which, by the command of Brutus, had daily kept watch in the harbor, took up anchor and began to follow

ex his unum ipsius navigium contendit et fugere perseveravit auxilioque tempestatis ex conspectu abiit, duo perterrita concursu nostrarum navium sese in portum receperunt|of these one of his own ships made headway and continued to flee, and with the help of the storm got out of sight;

Massilienses arma tormentaque ex oppido, ut est imperatum, proferunt, navis ex portu navalibusque educunt, pecuniam ex publico tradunt|The people of Marseilles brought their arms and artillery out of the town, as was ordered, they brought out the ships from the harbor and docks, they brought money from the public

quibus rebus confectis Caesar magis eos pro nomine et vetustate quam pro meritis in se civitatis conservans, duas ibi legiones praesidio relinquit, ceteras in Italiam mittit; ipse ad urbem proficiscitur|When these things had been accomplished, Caesar, retaining them more for their name and seniority than for the merits of the state, left two legions there as a guard, and sent the others into Italy. he himself set out for the city

Isdem temporibus C|At the same time C

Curio in Africam profectus ex Sicilia et iam ab initio copias P|Curius set out for Africa from Sicily, and already from the beginning the forces of P

Atti Vari despiciens duas legiones ex iiii quas a Caesare acceperat, d equites transportabat biduoque et noctibus tribus navigatione consumptis adpellit ad eum locum qui appellatur Anquillaria|Atti Vari, despising two of the legions which he had received from Caesar, transported d horsemen, and after spending two days and three nights in sailing, brought them to that place which is called Anquillaria

hic locus abest a Clupeis passuum xxii milia habetque non incommodam aestate stationem et duobus eminentibus promunturiis continetur|this place is twenty-two miles distant from the clubs, and has a not inconvenient station in the summer, and is contained by two prominent promontories

huius adventum L|the arrival of L

Caesar filius cum x longis navibus ad Clupeas praestolans, quas navis Uticae ex praedonum bello subductas P|Caesar the son, with 10 long ships, sailing to Clupea, which the ships of Utica had taken from the war of the pirates.

Attius reficiendas huius belli causa curaverat, veritusque navium multitudinem ex alto refugerat appulsaque ad proximum litus trireme constrata et in litore relicta pedibus Hadrumetum perfugerat|Antus had taken care of repairs for the purpose of this war.

id oppidum C|that town C

Considius Longus unius legionis praesidio tuebatur|Considius Longus was protected by a garrison of one legion

reliquae Caesaris naves eius fuga se Hadrumetum receperunt|the rest of Caesar's ships, in his flight, received Hadrumetum

hunc secutus Marcius Rufus quaestor navibus xii, quas praesidio onerariis navibus Curio ex Sicilia eduxerat, postquam in litore relictam navem conspexit, hanc remulco abstraxit; ipse ad C|After this, Marcus Rufus, the procurator, followed him with twelve ships, which Curius had brought out from Sicily under the escort of the freighters; himself to C

Curionem cum classe redit|Cure returns with the fleet

Curio Marcium Uticam navibus praemittit; ipse eodem cum exercitu proficiscitur biduique iter progressus ad flumen Bagradam pervenit|Curius Marcius sent ships ahead of Utica; he himself set out with the same army, and two days' progress reached the river Bagrada

ibi C|ibi C

Caninium Rebilum legatum cum legionibus relinquit; ipse cum equitatu antecedit ad Castra exploranda Cornelia, quod is locus peridoneus castris habebatur|Caninius Rebilus leaves the legate with the legions; He himself went ahead with the cavalry to explore the camp of Cornelia, because that place was considered to be close to the camp

id autem est iugum derectum eminens in mare, utraque ex parte praeruptum atque asperum, sed tamen paulo leniore fastigio ab ea parte, quae ad Uticam vergit|and that is a straight ridge projecting into the sea, on both sides precipitous and rugged, but still with a slightly gentler summit on that side which approaches Utica

abest derecto itinere ab Utica paulo amplius passus mille|It is a little more than a thousand miles by a direct road from Utica

sed hoc itinere est fons, quo mare succedit longius, lateque is locus restagnat; quem siqui vitare voluerit, vi milium circuitu in oppidum pervenit|but on this route there is a spring, by which the sea succeeds farther on, and the place stagnates in a great extent; whom the Siquis wished to avoid, he reached the town with a force of a thousand miles round about

Hoc explorato loco Curio castra Vari conspicit muro oppidoque coniuncta ad portam, quae appellatur Belica, admodum munita natura loci, una ex parte ipso oppido Utica, altera a theatro, quod est ante oppidum, substructionibus eius operis maximis, aditu ad castra difficili et angusto|Having explored this place, Curio sees the camp of Vari, attached to the town by a wall and at a gate called Belica.

simul animadvertit multa undique portari atque agi plenissimis viis, quae repentini tumultus timore ex agris in urbem conferebantur|At the same time he observed that many things were being carried from all sides, and that they were being carried along the most crowded roads, which were brought from the country to the city for fear of a sudden tumult.

huc equitatum mittit, ut diriperet atque haberet loco praedae; eodemque tempore his rebus subsidio dc equites Numidae ex oppido peditesque cccc mittuntur a Varo, quos auxilii causa rex Iuba paucis diebus ante Uticam miserat|hither he sends his cavalry, that he may plunder and take the booty instead; and at the same time, in aid of these things, 100 Numidian horsemen were sent from the town and 300 footmen from Varus, whom King Juba had sent to Utica a few days before for the purpose of assistance.

huic et paternum hospitium cum Pompeio et simultas cum Curione intercedebat, quod tribunus plebis legem promulgaverat, qua lege regnum Iubae publicaverat|to this also the paternal hospitality with Pompey and the sympathy with Curio interposed, because the tribune of the people had promulgated a law, by which law he had declared the kingdom of Juba

concurrunt equites inter se; neque vero primum impetum nostrorum Numidae ferre potuerunt, sed interfectis circiter cxx reliqui se in castra ad oppidum receperunt|the horsemen run together; nor were they able to withstand the first attack of our Numidians, but after having killed about 200 of the rest, they retired to the camp near the town

interim adventu longarum navium Curio pronuntiari onerariis navibus iubet, quae stabant ad Uticam numero circiter cc, se in hostium habiturum loco, qui non ex vestigio ad Castra Cornelia naves traduxisset|meanwhile, on the arrival of the long ships, Curio ordered the cargo ships, which were stationed at Utica to the number of about 100, to be in the position of the enemy, who had not brought the ships from the track to Camp Cornelia

qua pronuntiatione facta temporis puncto sublatis ancoris omnes Uticam relinquunt et, quo imperatum est, transeunt|at which point of time the anchor was lifted, and they all left Utica and, as ordered, passed

quae res omnium rerum copia complevit exercitum|which made the army complete in abundance of all things

His rebus gestis Curio se in castra ad Bagradam recipit atque universi exercitus conclamatione imperator appellatur, posteroque die Uticam exercitum ducit et prope oppidum castra ponit|After these things had been accomplished, Curius retired to the camp at Bagrada, and was called emperor by the acclamation of the whole army.

nondum opere castrorum perfecto equites ex statione nuntiant magna auxilia equitum peditumque ab rege missa Uticam venire; eodemque tempore vis magna pulveris cernebatur, et vestigio temporis primum agmen erat in conspectu|not yet having completed the work of the camp, the horsemen announced from the station that a large reinforcement of horse and foot had been sent by the king to Utica; and at the same time a great force of dust was seen, and the track of the first train was in sight

novitate rei Curio permotus praemittit equites, qui primum impetum sustineant ac morentur; ipse celeriter ab opere deductis legionibus aciem instruit|Curius, moved by the novelty of the matter, sent forward the horsemen, who should withstand the first attack and die; He quickly drew up the legions, having been withdrawn from the work

equitesque committunt proelium, et, priusquam plane legiones explicari et consistere possent, tota auxilia regis impedita ac perturbata, quod nullo ordine et sine timore iter fecerant, in fugam coiciunt equitatuque omni fere incolumi, quod se per litora celeriter in oppidum recipit, magnum peditum numerum interficiunt|and the horsemen begin the battle, and, before the legions could be clearly deployed and halted, the whole of the king's auxiliaries being impeded and disturbed, because they had marched without order and without fear, put to flight, and the cavalry, nearly all unscathed, which retreated rapidly along the shores into the town, a great number of footmen they kill

Proxima nocte centuriones Marsi duo ex castris Curionis cum manipularibus suis xxii ad Attium Varum perfugiunt|The next night two of the centurions of Mars from the camp of Curion with their 22 manipulators fled to Attium Varus

hi sive vere quam habuerant opinionem ad eum perferunt, sive etiam auribus Vari serviunt—nam quae volumus, ea credimus libenter, et quae sentimus ipsi, reliquos sentire speramus—confirmant quidem certe totius exercitus animos alienos esse a Curione, maximeque opus esse in conspectum exercitus venire et colloquendi dare facultatem|whether they really convey to him the opinion they had, or whether they serve Vari with their ears—for what we will, we readily believe, and what we ourselves feel, we hope the rest to feel—certainly confirm that the minds of the whole army are strangers to Curio, and that it is most necessary in the sight of the army to come and give the opportunity to speak

qua opinione adductus Varus postero die mane legiones ex castris educit|By which opinion Varus led out the legions from the camp the next morning

facit idem Curio, atque una valle non magna interiecta suas uterque copias instruit|Curio does the same thing, and each of them deploys his forces in one valley, not a great distance between them

Erat in exercitu Vari Sex|He was in the army of Varus Sex

Quintilius Varus quem fuisse Corfinii supra demonstratum est|It has been shown above that Quintilius Varus was of Corfinus

hic dimissus a Caesare in Africam venerat, legionesque eas traduxerat Curio, quas superioribus temporibus Corfinio receperat Caesar, adeo ut paucis mutatis centurionibus idem ordines manipulique constarent|he had been released by Caesar and had come to Africa, and Curius had brought the legions, which Caesar had received in former times from Corfinius, so that, with a few changes in the centurions, the same ranks and squads remained

hanc nanctus appellationis causam Quintilius circumire aciem Curionis atque obsecrare milites coepit, ne primi sacramenti, quod apud Domitium atque apud se quaestorem dixissent, memoriam deponerent, neu contra eos arma ferrent, qui eadem essent usi fortuna eademque in obsidione perpessi, neu pro iis pugnarent, a quibus †contumelia† perfugae appellarentur|Quintilius, having received this cause of appeal, began to go round Curion's line, and to entreat the soldiers, that they should not lay down the memory of the first sacrament, which they had said with Domitius and with him as quaestor, or take up arms against those who had shared the same fortune and suffered the same in the siege, or fight for them. by whom they would be called †insults† fugitives

huc pauca ad spem largitionis addidit, quae ab sua liberalitate, si se atque Attium secuti essent, expectare deberent|to this he added a few things in hope of a bounty, which from his liberality, if they had followed him and Attius, they should have expected

hac habita oratione nullam in partem ab exercitu Curionis fit significatio, atque ita suas uterque copias reducit|With this speech, Curio's army signaled no part, and thus both of them withdrew their forces

Atque in castris Curionis magnus omnium incessit timor animis; is variis hominum sermonibus celeriter augetur|And in the camp of Curio great fear came over the souls of all; it is rapidly increasing in the various discourses of men

unusquisque enim opiniones fingebat, et ad id, quod ab alio audierat, sui aliquid timoris addebat|for each one formed opinions, and added something of his own fear to what he had heard from another

hoc ubi uno auctore ad plures permanaverat atque alius alii tradiderat, plures auctores eius rei videbantur|This, where one author had continued to many, and another had betrayed others, there seemed to be several authors of the matter

civile bellum; genus hominum cui id liceret libere facere et sequi quod vellet; legiones hae quae paulo ante apud adversarios fuerant|civil war; a class of men to whom it was permitted to freely do and follow what they pleased; these legions which had been with the adversaries a little before

|

nam etiam Caesaris beneficia mutaverat consuetudo †qua offerrentur†|for even Caesar's favors had changed the custom †by which they were offered†

municipia etiam diversis partibus coniuncta|municipalities also connected to different parts

;neque enim ex Marsis Paelignisque veniebant ut qui superiore nocte in contuberniis commilitonesque|; for they did not come from Mars and the Paeligns, as they had the previous night in their company and comrades

†non nulli graviora sermones militum; dubia durius accipiebantur, nonnulla etiam ab his, qui diligentiores videri volebant fingebantur|The words of the soldiers are not more serious to anyone; Doubts were accepted more harshly, some were even invented by those who wanted to appear more careful

Quibus de causis consilio convocato de summa rerum deliberare incipit|For these reasons, having convened a council, he begins to deliberate on the sum of things

erant sententiae, quae conandum omnibus modis castraque Vari oppugnanda censerent, quod in huius modi militum consiliis otium maxime contrarium esse arbitrarentur|They were of the opinion that they should try by all means to attack the camp of Vari, because they thought that leisure was most contrary to the plans of the soldiers of this kind.

postremo praestare dicebant per virtutem in pugna belli fortunam experiri, quam desertos et circumventos ab suis gravissimum supplicium perpeti|and lastly they said that they would try their luck in war by their bravery, rather than suffer the most grievous punishment when deserted and surrounded by their own people.

erant, qui censerent de tertia vigilia in Castra Cornelia recedendum, ut maiore spatio temporis interiecto militum mentes sanarentur, simul siquid gravius accidisset, magna multitudine navium et tutius et facilius in Siciliam receptus daretur|there were those who thought that on the third watch we should retire to the camp of Cornelia, so that after a greater space of time the minds of the soldiers might be healed;

Curio utrumque improbans consilium, quantum alteri sententiae deesset animi, tantum alteri superesse dicebat; hos turpissimae fugae rationem habere, illos etiam iniquo loco dimicandum putare|The court, disapproving both counsels, said that as much as the opinion of the other lacked the spirit, so much as the other survived; to regard these as the most disgraceful flight, and to think that they should also fight in an unjust place

'qua enim,' inquit, 'fiducia et opere et natura loci munitissima castra expugnari posse confidimus? aut vero quid proficimus, si accepto magno detrimento ab oppugnatione castrorum discedimus? quasi non et felicitas rerum gestarum exercitus benevolentiam imperatoribus et res adversae odia concilient! castrorum autem mutatio quid habet nisi turpem fugam et desperationem omnium et alienationem exercitus? nam neque pudentis suspicari oportet sibi parum credi neque improbos scire sese timeri, quod illis licentiam timor augeat noster, his studia deminuat|'For with what confidence,' he says, 'do we trust that the most fortified camp of the place can be stormed? Or indeed, what do we gain if we withdraw from the attack on the camp after receiving a great loss? as if the happiness of the achievements of the army did not win the goodwill of the emperors, and the adverse events conquer the hatred! But what does the change of camps have but the disgraceful flight and despair of all, and the alienation of the army? for the shameless must not be suspected of having little faith in themselves, nor should the unscrupulous know themselves to be feared, lest our fear increase their license, and diminish their studies

quod si iam,' inquit, 'haec explorata habeamus, quae de exercitus alienatione dicuntur, quae quidem ego aut omnino falsa aut certe minora opinione esse confido, quanto haec dissimulari et occultari, quam per nos confirmari praestet? an non, uti corporis vulnera, ita exercitus incommoda sunt tegenda, ne spem adversariis augeamus? at etiam, ut media nocte proficiscamur, addunt, quo maiorem, credo, licentiam habeant, qui peccare conentur|that if we have already,' says he, 'scrutinized these things, which are said of the alienation of the army, which indeed I trust to be either entirely false, or at least a lesser opinion, how much more can these things be disguised and concealed than can be confirmed by us? or not, like the wounds of the body, so that armies are inconvenient to cover, lest we should increase the hope of our adversaries? but also, that we should set out at midnight, they add, so much the greater, I believe, that those who attempt to sin should have a license

namque huiusmodi res aut pudore aut metu tenentur, quibus rebus nox maxime adversaria est|for such things are held either by shame or fear, to which things the night is most hostile

quare neque tanti sum animi, ut sine spe castra obpugnanda censeam, neque tanti timoris, uti spe deficiam, atque omnia prius experienda arbitror magnaque ex parte iam me una vobiscum de re iudicium facturum confido|wherefore I am neither of such a mind as to consider the camp to be attacked without hope, nor of such fear as to fail in hope;

' Dimisso consilio contionem advocat militum|Dismissing the council, he advocated the meeting of the soldiers

commemorat, quo sit eorum usus studio ad Corfinium Caesar, ut magnam partem Italiae beneficio atque auctoritate eorum suam fecerit|He mentions how Caesar used them in his pursuit of Corfinium, so that he made a large part of Italy his own by their favor and influence

'vos enim vestrumque factum,' inquit, 'omnia deinceps municipia sunt secuta, neque sine causa et Caesar amicissime de vobis et illi gravissime iudicaverunt|"For you and your deed," said he, "all the municipalities followed suit, and not without cause, and Caesar, in a most friendly manner, judged you and them very severely."

Pompeius enim nullo proelio pulsus vestri facti praeiudicio demotus Italia excessit; Caesar me, quem sibi carissimum habuit, provinciam Siciliam atque Africam, sine quibus urbem atque Italiam tueri non potest, vestrae fidei commisit|For Pompey, defeated in no battle, left Italy, humbled by the prejudice you had committed; Caesar entrusted me, whom he held dearest to him, the province of Sicily and Africa, without which he cannot defend the city and Italy, to your faith

at sunt qui vos hortentur, ut a nobis desciscatis|but there are those who urge you to learn from us

quid enim est illis optatius quam uno tempore et nos circumvenire et vos nefario scelere obstringere? aut quid irati gravius de vobis sentire possunt, quam ut eos prodatis, qui se vobis omnia debere iudicant, in eorum potestatem veniatis, qui se per vos perisse existimant? an vero in Hispania res gestas Caesaris non audistis? duos pulsos exercitus, duos superatos duces, duas receptas provincias? haec acta diebus xl, quibus in conspectum adversariorum venerit Caesar? an qui incolumes resistere non potuerunt, perditi resistant? vos autem incerta victoria Caesarem secuti diiudicata iam belli fortuna victum sequamini, cum vestri officii praemia percipere debeatis? desertos enim se ac proditos a vobis dicunt et prioris sacramenti mentionem faciunt|for what is more desirable to them than to encircle us at one time and bind you with a wicked crime? or what can the angry feel more grievously about you, than that you have sold them, who judge that they owe you everything, to come into the power of those who think that they have perished through you? Have you not heard of Caesar's deeds in Spain? two defeated armies, two vanquished leaders, two recovered provinces? These things took place in the 40 days in which Caesar came into the presence of his adversaries? Or do those who could not resist unscathed resist? but you, having succeeded Caesar in an uncertain victory, having already been decided by the fortunes of war, the victory of Sequaminus, when should you receive the rewards of your office? for they say they are deserted and betrayed by you, and they make mention of the former sacrament

vosne vero L|vosne vero L

Domitium, an vos Domitius deseruit? nonne extremam pati fortunam paratos proiecit ille? non sibi clam vobis salutem fuga petivit? non proditi per illum Caesaris benef ficio estis conservati? sacramento quidem vos tenere qui potuit, cum proiectis fascibus et deposito imperio privatus et captus ipse in alienam venisset potestatem? [10] relinquitur nova religio, ut eo neglecto sacramento, quo tenemini, respiciatis illud, quod deditione ducis et [11] capitis deminutione sublatum est|Domitius, or has Domitius forsaken you? did he not throw them out ready to suffer the extreme fate? Did he not secretly ask you for safety by flight? Were you not betrayed and preserved by Caesar's beneficence? Indeed, who could hold you in the sacrament, when, having been thrown out with bundles and entrusted with the government, deprived and taken prisoner, he himself had come into the power of another? [10] the new religion is left behind, so that, neglecting the sacrament which you hold, you may respect that which was removed by the surrender of the leader and [11] the demotion of the head

at, credo, si Caesarem probatis, in me offenditis|but, I believe, if you have tried Caesar, you have stumbled upon me

qui de meis in vos meritis praedicaturus non sum, quae sunt adhuc et mea voluntate et vestra exspectatione leviora; sed tamen sui laboris milites semper eventu belli praemia petiverunt, qui qualis sit futurus, ne vos quidem dubitatis|I am not going to preach to you about my merits, which are still lighter both by my will and by your expectations. but nevertheless the soldiers of their own labor have always sought rewards in the event of the war, of what kind it will be, even you do not doubt

diligentiam quidem nostram aut, quem ad finem [12] adhuc res processit, fortunam cur praeteream? an paenitet vos, quod salvum atque incolumem exercitum nulla omnino navi desiderata traduxerim? quod classem hostium primo impetu adveniens profligaverim? quod bis per biduum equestri proelio superaverim? quod ex portu sinuque adversariorum cc naves oneratas abduxerim eoque illos compulerim, ut neque pedestri itinere neque navibus commeatu iuvari possint? [13] hac vos fortuna atque his ducibus repudiatis Corfiniensem ignominiam, Italiae fugam, an Hispaniarum deditionem, inAfrici belli praeiudicia sequimini! [14] equidem me Caesaris militem dici volui, vos me imperatoris nomine appellavistis|Indeed, why should we pass over our diligence, or, to the end [12] of which the matter has yet progressed, fortune? or do you regret that I did not bring the army safe and unharmed in any ship that was desired at all? that when I first attacked the enemy's fleet, I should have defeated it? that twice in two days I had overcome the cavalry? that I had taken 100 laden ships from the harbor and pocket of the adversaries, and driven them there, so that neither the pedestrians could be helped to travel nor the ships to supply them? [13] With this fortune, and having rejected these leaders, pursue the disgrace of Corfina, the flight of Italy, or the capitulation of Spain, the prejudices of the war in Africa! [14] Indeed, I wanted to be called Caesar's soldier, but you called me by the name of emperor

cuius si vos paenitet, vestrum vobis beneficium remitto, mihi meum restituite nomen, ne ad contumeliam honorem dedisse videamini|if you repent, I will forgive you your favor, restore to me my name, so that you do not seem to have given honor to insult

' Qua oratione permoti milites crebro etiam dicentem interpellabant, ut magno cum dolore infidelitatis suspicionem sustinere viderentur, discedentem vero ex contione universi cohortantur, magno sit animo neubi dubitet proelium committere et suam fidem virtutemque experiri|Moved by this prayer, the soldiers frequently interrupted him who was speaking, so that they might be seen to bear the suspicion of infidelity with great pain, but they all encouraged him who was departing from the assembly, that he should be of great courage and never hesitate to undertake the battle, and test his faith and valor

quo facto commutata omnium et voluntate et opinione consensu suorum constituit Curio, cum primum sit data potestas, proelio rem committere, posteroque die productos eodem loco, quo superioribus diebus constiterat, in acie collocat|which being exchanged, and with the consent of all, and the will and opinion of his people, the Curia, as soon as the power was given him, determined to commit the matter to battle, and on the following day placed the products in the same place in which they had stood in the preceding days.

ne Varus quidem Attius dubitat copias producere, sive sollicitandi milites sive aequo loco dimicandi detur occasio, ne facultatem praetermittat|even Varus Attius does not hesitate to produce troops, whether an opportunity is given to solicit the soldiers or to fight on a level ground, so that he does not pass up the opportunity

Erat vallis inter duas acies, ut supra demonstratum est, non ita magna, at difficili et arduo ascensu|There was a valley between the two lines, as has been pointed out above, not so great, but a difficult and steep ascent

hanc uterque si adversariorum copiae transire conarentur, expectabat, quo aequiore loco proelium committeret|each of them, if the forces of the adversaries tried to cross, waited for them to commit the battle in a more equal place

simul ab sinistro cornu P|at the same time from the left wing of P

Atti equitatus omnis et una levis armaturae interiecti conplures, cum se in vallem demitterent, cernebantur|At that time all the cavalry and one of the light armor were killed, and several of them were seen as they descended into the valley.

ad eos Curio equitatum et duas Marrucinorum cohortis mittit; quorum primum impetum equites hostium non tulerunt, sed admissis equis ad suos refugerunt; relicti ab his, qui una procurrerant levis armaturae, circumveniebantur atque interficiebantur ab nostris|to them Curius sends cavalry and two cohorts of Marrucines; the first charge of which the horsemen of the enemy did not bear, but having admitted their horses, took refuge with their own men; abandoned by those who had run together with the light armour, they were surrounded and slain by our men

huc tota Vari conversa acies suos fugere et concidi videbat|hither the whole of Vari turned, and saw his troops fleeing and cut down

